,class,parameter,data_type,default_value,url
8,sklearn.linear_model.ARDRegression,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
9,sklearn.linear_model.ARDRegression,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
10,sklearn.linear_model.ARDRegression,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
11,sklearn.linear_model.ARDRegression,verbose,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html
0,sklearn.linear_model.BayesianRidge,n_iter,int,300,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
0,sklearn.linear_model.BayesianRidge,n_iter,int,300,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
1,sklearn.linear_model.BayesianRidge,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
1,sklearn.linear_model.BayesianRidge,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
2,sklearn.linear_model.BayesianRidge,alpha_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
2,sklearn.linear_model.BayesianRidge,alpha_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
3,sklearn.linear_model.BayesianRidge,alpha_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
3,sklearn.linear_model.BayesianRidge,alpha_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
4,sklearn.linear_model.BayesianRidge,lambda_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
4,sklearn.linear_model.BayesianRidge,lambda_1,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
5,sklearn.linear_model.BayesianRidge,lambda_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
5,sklearn.linear_model.BayesianRidge,lambda_2,float,1e-06,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
6,sklearn.linear_model.BayesianRidge,compute_score,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
6,sklearn.linear_model.BayesianRidge,compute_score,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
7,sklearn.linear_model.BayesianRidge,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
7,sklearn.linear_model.BayesianRidge,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
8,sklearn.linear_model.BayesianRidge,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
8,sklearn.linear_model.BayesianRidge,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
9,sklearn.linear_model.BayesianRidge,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
9,sklearn.linear_model.BayesianRidge,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
10,sklearn.linear_model.BayesianRidge,verbose,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
10,sklearn.linear_model.BayesianRidge,verbose,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html
0,sklearn.linear_model.ElasticNet,alpha,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
1,sklearn.linear_model.ElasticNet,l1_ratio,float,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
2,sklearn.linear_model.ElasticNet,fit_intercept,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
3,sklearn.linear_model.ElasticNet,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
4,sklearn.linear_model.ElasticNet,precompute,True | False | array-like,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
5,sklearn.linear_model.ElasticNet,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
6,sklearn.linear_model.ElasticNet,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
7,sklearn.linear_model.ElasticNet,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
8,sklearn.linear_model.ElasticNet,warm_start,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
9,sklearn.linear_model.ElasticNet,positive,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
10,sklearn.linear_model.ElasticNet,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
11,sklearn.linear_model.ElasticNet,selection,str,’cyclic’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNet.html
0,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,l1_ratio,float or array of floats,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
0,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,l1_ratio,float or array of floats,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
1,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,eps,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
1,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,eps,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
2,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,n_alphas,int,100,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
2,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,n_alphas,int,100,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
3,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,alphas,numpy array,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
3,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,alphas,numpy array,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
4,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
4,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
5,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
5,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
6,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,precompute,True | False | ‘auto’ | array-like,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
6,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,precompute,True | False | ‘auto’ | array-like,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
7,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
7,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
8,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
8,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
9,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,cv,int,’warn’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
9,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,cv,int,’warn’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
10,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
10,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
11,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,verbose,bool or integer,0,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
11,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,verbose,bool or integer,0,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
12,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
12,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
13,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,positive,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
13,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,positive,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
14,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
14,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
15,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,selection,str,’cyclic’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
15,3.2.4.1.1. sklearn.linear_model.ElasticNetCV,selection,str,’cyclic’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ElasticNetCV.html
0,sklearn.linear_model.HuberRegressor,epsilon,float,1.35,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.HuberRegressor.html
1,sklearn.linear_model.HuberRegressor,max_iter,int,100,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.HuberRegressor.html
2,sklearn.linear_model.HuberRegressor,alpha,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.HuberRegressor.html
3,sklearn.linear_model.HuberRegressor,warm_start,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.HuberRegressor.html
4,sklearn.linear_model.HuberRegressor,fit_intercept,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.HuberRegressor.html
5,sklearn.linear_model.HuberRegressor,tol,float,1e-05,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.HuberRegressor.html
0,sklearn.linear_model.Lars,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
1,sklearn.linear_model.Lars,verbose,boolean or integer,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
2,sklearn.linear_model.Lars,normalize,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
3,sklearn.linear_model.Lars,precompute,True | False | ‘auto’ | array-like,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
4,sklearn.linear_model.Lars,n_nonzero_coefs,int,500,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
5,sklearn.linear_model.Lars,eps,float,2.220446049250313e-16,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
6,sklearn.linear_model.Lars,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
7,sklearn.linear_model.Lars,fit_path,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
8,sklearn.linear_model.Lars,positive,boolean (default=False),False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lars.html
0,3.2.4.1.2. sklearn.linear_model.LarsCV,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
1,3.2.4.1.2. sklearn.linear_model.LarsCV,verbose,boolean or integer,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
2,3.2.4.1.2. sklearn.linear_model.LarsCV,max_iter,integer,500,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
3,3.2.4.1.2. sklearn.linear_model.LarsCV,normalize,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
4,3.2.4.1.2. sklearn.linear_model.LarsCV,precompute,True | False | ‘auto’ | array-like,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
5,3.2.4.1.2. sklearn.linear_model.LarsCV,cv,int,’warn’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
6,3.2.4.1.2. sklearn.linear_model.LarsCV,max_n_alphas,integer,1000,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
7,3.2.4.1.2. sklearn.linear_model.LarsCV,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
8,3.2.4.1.2. sklearn.linear_model.LarsCV,eps,float,2.220446049250313e-16,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
9,3.2.4.1.2. sklearn.linear_model.LarsCV,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
10,3.2.4.1.2. sklearn.linear_model.LarsCV,positive,boolean (default=False),False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LarsCV.html
0,3.2.4.1.3. sklearn.linear_model.LassoCV,eps,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
1,3.2.4.1.3. sklearn.linear_model.LassoCV,n_alphas,int,100,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
2,3.2.4.1.3. sklearn.linear_model.LassoCV,alphas,numpy array,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
3,3.2.4.1.3. sklearn.linear_model.LassoCV,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
4,3.2.4.1.3. sklearn.linear_model.LassoCV,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
5,3.2.4.1.3. sklearn.linear_model.LassoCV,precompute,True | False | ‘auto’ | array-like,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
6,3.2.4.1.3. sklearn.linear_model.LassoCV,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
7,3.2.4.1.3. sklearn.linear_model.LassoCV,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
8,3.2.4.1.3. sklearn.linear_model.LassoCV,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
9,3.2.4.1.3. sklearn.linear_model.LassoCV,cv,int,’warn’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
10,3.2.4.1.3. sklearn.linear_model.LassoCV,verbose,bool or integer,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
11,3.2.4.1.3. sklearn.linear_model.LassoCV,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
12,3.2.4.1.3. sklearn.linear_model.LassoCV,positive,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
13,3.2.4.1.3. sklearn.linear_model.LassoCV,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
14,3.2.4.1.3. sklearn.linear_model.LassoCV,selection,str,’cyclic’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoCV.html
0,sklearn.linear_model.LassoLars,alpha,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
1,sklearn.linear_model.LassoLars,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
2,sklearn.linear_model.LassoLars,verbose,boolean or integer,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
3,sklearn.linear_model.LassoLars,normalize,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
4,sklearn.linear_model.LassoLars,precompute,True | False | ‘auto’ | array-like,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
5,sklearn.linear_model.LassoLars,max_iter,integer,500,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
6,sklearn.linear_model.LassoLars,eps,float,2.220446049250313e-16,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
7,sklearn.linear_model.LassoLars,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
8,sklearn.linear_model.LassoLars,fit_path,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
9,sklearn.linear_model.LassoLars,positive,boolean (default=False),False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html
0,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
1,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,verbose,boolean or integer,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
2,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,max_iter,integer,500,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
3,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,normalize,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
4,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,precompute,True | False | ‘auto’,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
5,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,cv,int,’warn’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
6,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,max_n_alphas,integer,1000,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
7,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
8,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,eps,float,2.220446049250313e-16,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
9,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
10,3.2.4.1.4. sklearn.linear_model.LassoLarsCV,positive,boolean (default=False),False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html
0,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,criterion,‘bic’ | ‘aic’,’aic’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
1,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
2,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,verbose,boolean or integer,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
3,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,normalize,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
4,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,precompute,True | False | ‘auto’ | array-like,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
5,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,max_iter,integer,500,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
6,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,eps,float,2.220446049250313e-16,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
7,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
8,3.2.4.2.1. sklearn.linear_model.LassoLarsIC,positive,boolean (default=False),False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html
0,sklearn.linear_model.LinearRegression,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LinearRegression.html
1,sklearn.linear_model.LinearRegression,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LinearRegression.html
2,sklearn.linear_model.LinearRegression,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LinearRegression.html
