,class,parameter,data_type,default_value,url
3,3.2.4.1.10. sklearn.linear_model.RidgeClassifierCV,scoring,string,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeClassifierCV.html
4,3.2.4.1.10. sklearn.linear_model.RidgeClassifierCV,cv,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeClassifierCV.html
5,3.2.4.1.10. sklearn.linear_model.RidgeClassifierCV,class_weight,dict or ‘balanced’,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeClassifierCV.html
6,3.2.4.1.10. sklearn.linear_model.RidgeClassifierCV,store_cv_values,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeClassifierCV.html
0,3.2.4.1.9. sklearn.linear_model.RidgeCV,alphas,numpy array of shape [n_alphas],,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
0,3.2.4.1.9. sklearn.linear_model.RidgeCV,alphas,numpy array of shape [n_alphas],,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
1,3.2.4.1.9. sklearn.linear_model.RidgeCV,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
1,3.2.4.1.9. sklearn.linear_model.RidgeCV,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
2,3.2.4.1.9. sklearn.linear_model.RidgeCV,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
2,3.2.4.1.9. sklearn.linear_model.RidgeCV,normalize,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
3,3.2.4.1.9. sklearn.linear_model.RidgeCV,scoring,string,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
3,3.2.4.1.9. sklearn.linear_model.RidgeCV,scoring,string,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
4,3.2.4.1.9. sklearn.linear_model.RidgeCV,cv,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
4,3.2.4.1.9. sklearn.linear_model.RidgeCV,cv,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
5,3.2.4.1.9. sklearn.linear_model.RidgeCV,gcv_mode,"{None, ‘auto’, ‘svd’, eigen’}",None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
5,3.2.4.1.9. sklearn.linear_model.RidgeCV,gcv_mode,"{None, ‘auto’, ‘svd’, eigen’}",None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
6,3.2.4.1.9. sklearn.linear_model.RidgeCV,store_cv_values,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
6,3.2.4.1.9. sklearn.linear_model.RidgeCV,store_cv_values,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html
0,sklearn.linear_model.TheilSenRegressor,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
1,sklearn.linear_model.TheilSenRegressor,copy_X,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
2,sklearn.linear_model.TheilSenRegressor,max_subpopulation,int,10000.0,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
3,sklearn.linear_model.TheilSenRegressor,n_subsamples,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
4,sklearn.linear_model.TheilSenRegressor,max_iter,int,300,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
5,sklearn.linear_model.TheilSenRegressor,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
6,sklearn.linear_model.TheilSenRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
7,sklearn.linear_model.TheilSenRegressor,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
8,sklearn.linear_model.TheilSenRegressor,verbose,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.TheilSenRegressor.html
0,sklearn.multioutput.MultiOutputRegressor,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.MultiOutputRegressor.html
0,sklearn.multioutput.RegressorChain,order,array-like,None,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.RegressorChain.html
1,sklearn.multioutput.RegressorChain,cv,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.RegressorChain.html
2,sklearn.multioutput.RegressorChain,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.RegressorChain.html
0,sklearn.neural_network.MLPRegressor,hidden_layer_sizes,tuple,,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
1,sklearn.neural_network.MLPRegressor,activation,"{‘identity’, ‘logistic’, ‘tanh’, ‘relu’}",’relu’,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
2,sklearn.neural_network.MLPRegressor,solver,"{‘lbfgs’, ‘sgd’, ‘adam’}",’adam’,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
3,sklearn.neural_network.MLPRegressor,alpha,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
4,sklearn.neural_network.MLPRegressor,batch_size,int,’auto’,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
5,sklearn.neural_network.MLPRegressor,learning_rate,"{‘constant’, ‘invscaling’, ‘adaptive’}",’constant’,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
6,sklearn.neural_network.MLPRegressor,learning_rate_init,double,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
7,sklearn.neural_network.MLPRegressor,power_t,double,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
8,sklearn.neural_network.MLPRegressor,max_iter,int,200,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
9,sklearn.neural_network.MLPRegressor,shuffle,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
10,sklearn.neural_network.MLPRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
11,sklearn.neural_network.MLPRegressor,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
12,sklearn.neural_network.MLPRegressor,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
13,sklearn.neural_network.MLPRegressor,warm_start,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
14,sklearn.neural_network.MLPRegressor,momentum,float,0.9,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
15,sklearn.neural_network.MLPRegressor,nesterovs_momentum,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
16,sklearn.neural_network.MLPRegressor,early_stopping,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
17,sklearn.neural_network.MLPRegressor,validation_fraction,float,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
18,sklearn.neural_network.MLPRegressor,beta_1,float,0.9,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
19,sklearn.neural_network.MLPRegressor,beta_2,float,0.999,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
20,sklearn.neural_network.MLPRegressor,epsilon,float,1e-08,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
21,sklearn.neural_network.MLPRegressor,n_iter_no_change,int,10,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html
0,sklearn.svm.LinearSVR,epsilon,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
0,sklearn.svm.LinearSVR,epsilon,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
1,sklearn.svm.LinearSVR,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
1,sklearn.svm.LinearSVR,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
2,sklearn.svm.LinearSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
2,sklearn.svm.LinearSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
3,sklearn.svm.LinearSVR,loss,string,’epsilon_insensitive’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
3,sklearn.svm.LinearSVR,loss,string,’epsilon_insensitive’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
4,sklearn.svm.LinearSVR,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
4,sklearn.svm.LinearSVR,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
5,sklearn.svm.LinearSVR,intercept_scaling,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
5,sklearn.svm.LinearSVR,intercept_scaling,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
6,sklearn.svm.LinearSVR,dual,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
6,sklearn.svm.LinearSVR,dual,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
7,sklearn.svm.LinearSVR,verbose,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
7,sklearn.svm.LinearSVR,verbose,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
8,sklearn.svm.LinearSVR,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
8,sklearn.svm.LinearSVR,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
9,sklearn.svm.LinearSVR,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
9,sklearn.svm.LinearSVR,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
0,sklearn.svm.NuSVR,nu,float,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
0,sklearn.svm.NuSVR,nu,float,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
1,sklearn.svm.NuSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
1,sklearn.svm.NuSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
2,sklearn.svm.NuSVR,kernel,string,’rbf’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
2,sklearn.svm.NuSVR,kernel,string,’rbf’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
3,sklearn.svm.NuSVR,degree,int,3,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
3,sklearn.svm.NuSVR,degree,int,3,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
4,sklearn.svm.NuSVR,gamma,float,’auto_deprecated’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
4,sklearn.svm.NuSVR,gamma,float,’auto_deprecated’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
5,sklearn.svm.NuSVR,coef0,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
5,sklearn.svm.NuSVR,coef0,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
6,sklearn.svm.NuSVR,shrinking,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
6,sklearn.svm.NuSVR,shrinking,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
7,sklearn.svm.NuSVR,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
7,sklearn.svm.NuSVR,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
8,sklearn.svm.NuSVR,cache_size,float,200,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
8,sklearn.svm.NuSVR,cache_size,float,200,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
9,sklearn.svm.NuSVR,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
9,sklearn.svm.NuSVR,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
10,sklearn.svm.NuSVR,max_iter,int,-1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
10,sklearn.svm.NuSVR,max_iter,int,-1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
0,sklearn.svm.SVR,kernel,string,’rbf’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
1,sklearn.svm.SVR,degree,int,3,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
2,sklearn.svm.SVR,gamma,float,’auto_deprecated’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
3,sklearn.svm.SVR,coef0,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
4,sklearn.svm.SVR,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
5,sklearn.svm.SVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
6,sklearn.svm.SVR,epsilon,float,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
7,sklearn.svm.SVR,shrinking,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
8,sklearn.svm.SVR,cache_size,float,200,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
9,sklearn.svm.SVR,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
10,sklearn.svm.SVR,max_iter,int,-1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
0,sklearn.svm.LinearSVR,epsilon,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
0,sklearn.svm.LinearSVR,epsilon,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
1,sklearn.svm.LinearSVR,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
1,sklearn.svm.LinearSVR,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
2,sklearn.svm.LinearSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
2,sklearn.svm.LinearSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
3,sklearn.svm.LinearSVR,loss,string,’epsilon_insensitive’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
3,sklearn.svm.LinearSVR,loss,string,’epsilon_insensitive’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
4,sklearn.svm.LinearSVR,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
4,sklearn.svm.LinearSVR,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
5,sklearn.svm.LinearSVR,intercept_scaling,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
5,sklearn.svm.LinearSVR,intercept_scaling,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
6,sklearn.svm.LinearSVR,dual,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
6,sklearn.svm.LinearSVR,dual,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
7,sklearn.svm.LinearSVR,verbose,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
7,sklearn.svm.LinearSVR,verbose,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
8,sklearn.svm.LinearSVR,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
8,sklearn.svm.LinearSVR,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
9,sklearn.svm.LinearSVR,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
9,sklearn.svm.LinearSVR,max_iter,int,1000,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
0,sklearn.svm.NuSVR,nu,float,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
0,sklearn.svm.NuSVR,nu,float,0.5,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
1,sklearn.svm.NuSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
1,sklearn.svm.NuSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
2,sklearn.svm.NuSVR,kernel,string,’rbf’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
2,sklearn.svm.NuSVR,kernel,string,’rbf’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
3,sklearn.svm.NuSVR,degree,int,3,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
3,sklearn.svm.NuSVR,degree,int,3,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
4,sklearn.svm.NuSVR,gamma,float,’auto_deprecated’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
4,sklearn.svm.NuSVR,gamma,float,’auto_deprecated’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
5,sklearn.svm.NuSVR,coef0,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
5,sklearn.svm.NuSVR,coef0,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
6,sklearn.svm.NuSVR,shrinking,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
6,sklearn.svm.NuSVR,shrinking,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
7,sklearn.svm.NuSVR,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
7,sklearn.svm.NuSVR,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
8,sklearn.svm.NuSVR,cache_size,float,200,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
8,sklearn.svm.NuSVR,cache_size,float,200,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
9,sklearn.svm.NuSVR,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
9,sklearn.svm.NuSVR,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
10,sklearn.svm.NuSVR,max_iter,int,-1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
10,sklearn.svm.NuSVR,max_iter,int,-1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html
0,sklearn.svm.SVR,kernel,string,’rbf’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
1,sklearn.svm.SVR,degree,int,3,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
2,sklearn.svm.SVR,gamma,float,’auto_deprecated’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
3,sklearn.svm.SVR,coef0,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
4,sklearn.svm.SVR,tol,float,0.001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
5,sklearn.svm.SVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
6,sklearn.svm.SVR,epsilon,float,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
7,sklearn.svm.SVR,shrinking,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
8,sklearn.svm.SVR,cache_size,float,200,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
9,sklearn.svm.SVR,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
10,sklearn.svm.SVR,max_iter,int,-1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
0,sklearn.tree.DecisionTreeRegressor,criterion,string,’mse’,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
1,sklearn.tree.DecisionTreeRegressor,splitter,string,’best’,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
2,sklearn.tree.DecisionTreeRegressor,max_depth,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
3,sklearn.tree.DecisionTreeRegressor,min_samples_split,int,2,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
4,sklearn.tree.DecisionTreeRegressor,min_samples_leaf,int,1,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
5,sklearn.tree.DecisionTreeRegressor,min_weight_fraction_leaf,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
6,sklearn.tree.DecisionTreeRegressor,max_features,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
7,sklearn.tree.DecisionTreeRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
8,sklearn.tree.DecisionTreeRegressor,max_leaf_nodes,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
9,sklearn.tree.DecisionTreeRegressor,min_impurity_decrease,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
10,sklearn.tree.DecisionTreeRegressor,min_impurity_split,float,None,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
11,sklearn.tree.DecisionTreeRegressor,presort,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html
